store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
,,"KFC Restaurant,Garuda Mall, Municpal # cts 15,17,18,27, 4th floor, Mc Grath Road",,Bengaluru,,,India,,12.96995,77.609909,10:45 - 23:30,,0
,,"79/1, Aishwarya Sampurna Vani Vilas Road, Basavangudi,Gandhi Bazaar",,Bengaluru,,,India,,12.947995,77.568983,10:45 - 23:30,,0
,,"KFC Restaurant, Forum Value Mall, No. 62,Whitefield Main Road",,Bengaluru,,,India,,12.95961,77.74726,10:45 - 23:30,,0
,,"The Forum Mall Unit 18 & 19 Hosur road, Koramangala",,Bengaluru,,,India,,12.9342708,77.6086814,10:45 - 23:30,,0
,,"Pyramid Food Court, Intermediate Ring Road, Domlur,Embassy Golf Link",,Bengaluru,,,India,,12.950146,77.645112,10:45 - 23:30,,0
,,"4th Floor, Food Court, Elements Mall, Nagvara Village, Thanisandra Main Road",,Bengaluru,,,India,,13.045739,77.62658,10:45 - 23:30,,0
,,"No.56, Survey No. 66, Opp to Wipro gate 5, KFC Electronic city phase -1, Next to Hotel Svenska",,Bengaluru,,,India,,12.839633,77.659266,10:45 - 23:30,,0
,,"Site # 14, Ground Floor, HM Geneva House,Cunningham road",,Bengaluru,,,India,,12.988472,77.594042,10:45 - 23:30,,0
,,"No 63,64, Commercial street",,Bengaluru,,,India,,12.982578,77.607582,10:45 - 23:30,,0
,,"No 1/1A (CMH Road), Indira Nagar",,Bengaluru,,,India,,12.978163,77.640544,10:45 - 23:30,,0
,,"Survey no 180,67th KM Milestone, Mudugere Village, Mallur Hobli, Chennapatna, Bangalore-Mysore Highway",,Bengaluru,,,India,,12.613248,77.070443,10:45 - 23:30,,0
,,"Ground Floor, Chandra Layout Main Road, Next to HP Petrol Pump",,Bengaluru,,,India,,12.960975,77.52813,10:45 - 23:30,,0
,,"Central-III,Survey No 5/78/7, 78/8 & 89/6, Bellandur Village,Varthur Hobli",,Bengaluru,,,India,,12.926258,77.675161,10:45 - 23:30,,0
,,"KFC Restaurant, No. 55 Bommasandra Village, Attibele Hobli, Opp. SKF, Anekal Taluk Bangalore",,Bengaluru,,,India,,12.823174,77.685986,10:45 - 23:30,,0
,,"#729 Modi Hospital Junction, Modi Hospital Road 2nd stage, Basveshwar Nagar",,Bengaluru,,,India,,12.997351,77.546505,10:45 - 23:30,,0
,,"Meu Square, Bannerghatta Road, Opp to Coupon Mall",,Bengaluru,,,India,,28.321651,77.359199,10:45 - 23:30,,0
,,"KFC Restaurant #1, 80 Ft Road, 6th Block, 3rd Stage, Banashankari",,Bengaluru,,,India,,12.926508,77.551029,10:45 - 23:30,,0
,,"Gopalan Arch Mall Shop No12, Nayandahalli Village, Kengeri Hobli, Raja Rajeshwari Nagar Opposite The Club Mysore Road",,Bengaluru,,,India,,12.935993,77.517464,10:45 - 23:30,,0
,,"Pal Heights , J/7, Jaidev Vihar",,Bhubaneshwar,,,India,,20.298633,85.823169,10:45 - 23:30,,0
,,"3/1063 C1- C7, Hilite City Mall, Guruvayoorappan College Po, Nr.Thondayad bye Pass",,Calicut,,,India,,11.248361,75.833751,10:45 - 23:30,,0
,,"PLOT NO 178 & 178A, INDUSTRIAL AREA & BUSINESS PARK,PHASE- I,Punjab",,Chandigarh,,,India,,30.70553,76.801212,10:45 - 23:30,,0
,,"KFC, Sector 35 C Market, S.C.O 425-426",,Chandigarh,,,India,,30.722401,76.761497,10:45 - 23:30,,0
,,"SCO 1,2,3, Sector 8C ,Madhya Marg",,Chandigarh,,,India,,30.740372,76.792186,10:45 - 23:30,,0
,," # 185, 3rd cross street, Tambaram main road, Vijaya Nagar, Velachery",,Chennai,,,India,,12.972504,80.219247,10:45 - 22:30,,0
,,"Plot No. 18, Thiyagaraya Road, T. Nagar",,Chennai,,,India,,13.039767,80.241847,10:45 - 23:30,,0
,,"No. 55 A, Ground Floor, Opp Nilgiris, Santhome High road",,Chennai,,,India,,13.02634,80.275546,10:45 - 23:30,,0
,,"No 1/445, Ground Floor, Mount Poonamallee road, Opp.Ramachandra Hospital, Porur",,Chennai,,,India,,13.036704,80.140427,10:45 - 23:30,,0
,,"Plot No-46,Survey number 89/2B, Madavilagam Nazarethpattai, Ponnamalle, Chennai-Bangalore Highway",,Chennai,,,India,,13.045237,80.070289,10:45 - 23:30,,0
,,"70ft Road, Periyar Nagar, Near Sheeba Hospital",,Chennai,,,India,,13.117102,80.227953,10:45 - 23:30,,0
,,"#180 & 181, Raju Nagar Opp. To AKDR Golf village Okkiyam, Thoraipakkam ,OMR",,Chennai,,,India,,12.935909,80.233749,10:45 - 23:30,,0
,,"No. 81, Swasthik Complex, Nungambakkam High Road",,Chennai,,,India,,13.061777,80.245606,10:45 - 23:30,,0
,,"# 1/C1, kambar Salai, Near Vavin Oppsite to Grand sweets, Mogaippair West",,Chennai,,,India,,13.084701,80.169861,10:45 - 23:30,,0
,,"Old survey No, 32/21, Manapakkam Village, Mount Poonamalle High Road",,Chennai,,,India,,13.020481,80.184189,10:45 - 23:30,,0
,,"Gound Floor, situated at #239,, Jawahar Lal Nehru Salai, Koyembedu",,Chennai,,,India,,13.072257,80.202544,10:45 - 23:30,,0
,,"KFC Resturants, #32-A, Medivakkam Main Road, keelkattalai Near Mahatha Petroleum",,Chennai,,,India,,12.953358,80.186774,10:45 - 23:30,,0
,,"Upper Ground floor, NSK Salai, Arcot Road, Vadapalani",,Chennai,,,India,,13.0447519,80.1377526,10:45 - 23:30,,0
,,"Express Avenue, No.49/50 L, 3rd Floor, Food Court, Whites Road, Royapettah",,Chennai,,,India,,13.05861,80.264453,10:45 - 23:30,,0
,,"No-1/174, East Coast Road, Kottivakkam",,Chennai,,,India,,12.96799,80.257337,10:45 - 23:30,,0
,,"2nd Floor,SHA, Food Court, Kamaraj Domestic Airport, Tamil Nadu",,Chennai,,,India,,12.995408,80.170974,10:45 - 22:30,,0
,,"No. 33, Coromandel Plaza, Old Mahabalipuram Road, Navallur, Chennai, Tamil Nadu 603103",,Chennai,,,India,,12.850428,80.226145,10:45 - 23:30,,0
,,"Shop No T-2 Citi Centre, Dr. Radha Krishnan Salai, Mylapore",,Chennai,,,India,,13.043009,80.273821,10:45 - 23:30,,0
,,"Door No 5, GST Road, Tamabaram",,Chennai,,,India,,12.943328,80.134319,10:45 - 23:30,,0
,,"#H-136/1, H-136/2 6th Avenue, Elliot Beach Besant Nagar",,Chennai,,,India,,13.000523,80.270836,10:45 - 23:30,,0
,,"Old No 96 & 97, New No 43 & 44, 11th Avenue Ashok Nagar",,Chennai,,,India,,13.031663,80.211536,10:45 - 22:30,,0
,," Plot No 995-J, New No 172, 2nd Avenue, Anna Nagar",,Chennai,,,India,,13.085824,80.204016,10:45 - 23:30,,0
,,"Ampa Skywalk Mall, Shop No-4, 1 Nelson Manikam Road 627, Poonamalee High Road",,Chennai,,,India,,13.074071,80.222962,10:45 - 23:30,,0
,," Lulu International Shopping Mall, 50/2392 50/2392, NH 47,Edappally",,Cochin,,,India,,10.027324,76.3078,10:45 - 23:30,,0
,,"KFC Gold Souk Grande, Ground Floor Shop No 1, Edapalli Bypass Road Near Vythilla Junction",,Cochin,,,India,,9.977769,76.31693,10:45 - 23:30,,0
,,"Centre Square Mall, Next to hotel Abad Plaza, MG Road",,Cochin,,,India,,9.977685,76.316973,10:45 - 22:30,,0
,,"Shop No - T 10, 3rd Floor, Brookefields Estates, 67/71 Krishnasamy Road",,Coimbatore,,,India,,11.009607,76.959161,10:45 - 22:30,,0
,,"1258-1260, Survey No 333, Avinashi Road, Peelamedu",,Coimbatore,,,India,,11.018116,76.990499,10:45 - 23:30,,0
,,"W-2/14, Upper Ground Floor, West Patel Nagar",,Delhi,,,India,,28.645647,77.169111,10:45 - 22:30,,0
,," ARSS Mall, Plot No: 40, Block -A, opposite Jawalaheri Market, Paschim Vihar",,Delhi,,,India,,28.668938,77.101626,10:45 - 22:30,,0
,,"Food Court, Lower ground floor, TDI Mall, Nehru Place Metro Station.",,Delhi,,,India,,28.551486,77.251673,10:45 - 22:30,,0
,,"2ND FLOOR. FOOD COURT,SHOP NO 12,13. PLOT NO 67., PATEL ROAD",,Delhi,,,India,,28.657037,77.146719,10:45 - 22:30,,0
,,"J 23 A Central Market, Lajpat Nagar 2",,Delhi,,,India,,28.569351,77.242954,10:45 - 22:30,,0
,,"Plot # 38 UA,Bangalow Road, Kamal Nagar",,Delhi,,,India,,28.680499,77.208181,10:45 - 22:30,,0
,,"F-4, Kalka ji",,Delhi,,,India,,28.542129,77.253708,10:45 - 22:30,,0
