store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
FUCHUN COMMUNITY CLUB,15,"Fuchun Community Club
No.1 Woodlands Street 31 
#01-01
Singapore 738581",,FUCHUN COMMUNITY CLUB,,,Singapore,6362 2609,1.429579,103.775184,sun:08:00:00-22:00:00;0;0;;mon:10:00:00-22:00:00;0;0;;tue:10:00:00-22:00:00;0;0;;wed:10:00:00-22:00:00;0;0;;thu:10:00:00-22:00:00;0;0;;fri:10:00:00-22:00:00;0;0;;sat:08:00:00-22:00:00;0;0;;,,0
Hitachi Tower,16,Income At Raffles 16 Collyer Quay #01-01/02 Singapore 049318,,HITACHI TOWER,,,Singapore,6557 2845,1.284056,103.852559,sun:-;0;1;;mon:07:30:00-21:30:00;0;0;;tue:07:30:00-21:30:00;0;0;;wed:07:30:00-21:30:00;0;0;;thu:07:30:00-21:30:00;0;0;;fri:07:30:00-21:30:00;0;0;;sat:07:30:00-18:00:00;0;0;;,,0
Changi Airport Terminal 1 Transit West,9,"Terminal 1, Departure/ Transit Lounge West, Mezzanine Level, #03-02 Singapore Changi Airport Singapore 819642",,TERMINAL 1 TRANSIT WEST,,,Singapore,6542 2102,1.363813,103.989786,sun:00:00:00-00:00:00;0;0;;mon:00:00:00-00:00:00;0;0;;tue:00:00:00-00:00:00;0;0;;wed:00:00:00-00:00:00;0;0;;thu:00:00:00-00:00:00;0;0;;fri:00:00:00-00:00:00;0;0;;sat:00:00:00-00:00:00;0;0;;,,0
Changi Airport Terminal 3 Transit,10,"Terminal 3, Departure / Transit Lounge North, Mezzanine Level, #L03AF11, Singapore Changi Airport, 65 Airport Boulevard Singapore 819663",,TERMINAL 3 TRANSIT,,,Singapore,6542 1392,1.356091,103.986515,sun:00:00:00-00:00:00;0;0;;mon:00:00:00-00:00:00;0;0;;tue:00:00:00-00:00:00;0;0;;wed:00:00:00-00:00:00;0;0;;thu:00:00:00-00:00:00;0;0;;fri:00:00:00-00:00:00;0;0;;sat:00:00:00-00:00:00;0;0;;,,0
Cineleisure Orchard,11,"8 Grange Road, #01-07, Cathay Cineleisure Orchard Singapore 239695",,CINELEISURE ORCHARD,,,Singapore,6735 8462,1.301478,103.836488,sun:08:30:00-23:00:00;0;0;;mon:08:30:00-23:00:00;0;0;;tue:08:30:00-23:00:00;0;0;;wed:08:30:00-23:00:00;0;0;;thu:08:30:00-23:00:00;0;0;;fri:08:30:00-02:00:00;0;0;;sat:08:30:00-02:00:00;0;0;;,,0
COMPASS ONE,12,1 Sengkang Square #B1-14/14A,,COMPASS ONE,,,Singapore,6385 4178,1.392076,103.895152,sun:08:00:00-22:30:00;0;0;;mon:08:00:00-22:30:00;0;0;;tue:08:00:00-22:30:00;0;0;;wed:08:00:00-22:30:00;0;0;;thu:08:00:00-22:30:00;0;0;;fri:08:00:00-22:30:00;0;0;;sat:08:00:00-22:30:00;0;0;;,,0
Bukit Panjang Plaza,5,"Bukit Panjang Plaza, 1 Jelebu Road ,#01-28 Singapore 677743",,BUKIT PANJANG PLAZA,,,Singapore,6462 0417,1.379929,103.764310,sun:08:00:00-22:00:00;0;0;;mon:08:00:00-22:00:00;0;0;;tue:08:00:00-22:00:00;0;0;;wed:08:00:00-22:00:00;0;0;;thu:08:00:00-22:00:00;0;0;;fri:08:00:00-22:00:00;0;0;;sat:08:00:00-22:00:00;0;0;;,,0
Burlington Square,6,"175 Bencoolen Street #01-01, Burlington Square Singapore 189649",,BURLINGTON SQUARE,,,Singapore,6336 3435,1.302117,103.852712,sun:08:00:00-22:30:00;0;0;;mon:08:00:00-22:30:00;0;0;;tue:08:00:00-22:30:00;0;0;;wed:08:00:00-22:30:00;0;0;;thu:08:00:00-22:30:00;0;0;;fri:08:00:00-22:30:00;0;0;;sat:08:00:00-22:30:00;0;0;;,,0
Central,7,"The Central 6 Eu Tong Sen Street, #01-23 to 26 Singapore 059817",,CENTRAL,,,Singapore,6534 8364,1.289306,103.847026,sun:08:00:00-23:00:00;0;0;;mon:08:00:00-23:00:00;0;0;;tue:08:00:00-23:00:00;0;0;;wed:08:00:00-23:00:00;0;0;;thu:08:00:00-23:00:00;0;0;;fri:00:00:00-00:00:00;0;0;;sat:00:00:00-00:00:00;0;0;;,,0
Changi Airport Terminal 1,8,"80 Airport Boulevard, Arrival Meeting Hall East, #01-07, Terminal 1 Singapore 819642",,TERMINAL 1,,,Singapore,6214 9452,1.361626,103.990236,sun:00:00:00-00:00:00;0;0;;mon:00:00:00-00:00:00;0;0;;tue:00:00:00-00:00:00;0;0;;wed:00:00:00-00:00:00;0;0;;thu:00:00:00-00:00:00;0;0;;fri:00:00:00-00:00:00;0;0;;sat:00:00:00-00:00:00;0;0;;,,0
Alexandra Retail Centre,1,"460 Alexandra Road, #01-17 and #01-20, PSA Building (Alexandra Retail Centre) Singapore 119963",,ALEXANDRA RETAIL CENTRE,,,Singapore,6276 8487,1.273971,103.801276,sun:08:00:00-22:00:00;0;0;;mon:07:30:00-22:00:00;0;0;;tue:07:30:00-22:00:00;0;0;;wed:07:30:00-22:00:00;0;0;;thu:07:30:00-22:00:00;0;0;;fri:07:30:00-22:00:00;0;0;;sat:07:30:00-22:00:00;0;0;;,,0
Ang Mo Kio Hub,2,"53 Ang Mo Kio Avenue 3, #01-40 Amk Hub Singapore 569933",,ANG MO KIO HUB,,,Singapore,6481 8237,1.369458,103.848501,sun:07:00:00-01:00:00;0;0;;mon:07:00:00-01:00:00;0;0;;tue:07:00:00-01:00:00;0;0;;wed:07:00:00-01:00:00;0;0;;thu:07:00:00-01:00:00;0;0;;fri:00:00:00-00:00:00;0;0;;sat:00:00:00-00:00:00;0;0;;,,0
Bugis Village,3,"241/243 Victoria Street, Bugis Village Singapore 188030",,BUGIS VILLAGE,,,Singapore,6334 7125,1.300341,103.855286,sun:08:00:00-23:00:00;0;0;;mon:08:00:00-23:00:00;0;0;;tue:08:00:00-23:00:00;0;0;;wed:08:00:00-23:00:00;0;0;;thu:08:00:00-23:00:00;0;0;;fri:08:00:00-23:00:00;0;0;;sat:08:00:00-23:00:00;0;0;;,,0
BUKIT BATOK EAST COMMUNITY CLUB,4,"23 Bukit Batok East Avenue 4 #01-01, Bukit Batok East Community Club",,,,,Singapore,6266 3789,1.348959,103.758275,sun:08:00:00-22:00:00;0;0;;mon:08:00:00-22:00:00;0;0;;tue:08:00:00-22:00:00;0;0;;wed:08:00:00-22:00:00;0;0;;thu:08:00:00-22:00:00;0;0;;fri:08:00:00-22:00:00;0;0;;sat:08:00:00-22:00:00;0;0;;,,0
