store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Corona (Auto Center Dr.),25,450 Auto Center Dr.,,Corona,CA,92882,US,,33.88166,-117.61349,,,
Corona (Ontario Ave. & I-15),175,2305 Compton Ave.,,Corona,CA,92881,US,,33.84403,-117.53647,,,
Norco,48,1810 Hamner,,Norco,CA,92860,US,,33.90852,-117.56168,,,
Pedley,39,6634 Clay,,Riverside,CA,92509,US,,33.96709,-117.46584,,,
Riverside,46,7467 Indiana Ave.,,Riverside,CA,92504,US,,33.93579,-117.40385,,,
Costa Mesa,38,594 W. 19th Street,,Costa Mesa,CA,92627,US,,33.64369,-117.92289,,,
Pleasanton,124,6015 Johnson Dr.,,Pleasanton,CA,94588,US,,37.70022,-121.90763,,,
Woodland,231,2011 Bronze Star Drive,,Woodland,CA,95776,US,,38.67024,-121.72802,,,
Santa Fe Springs,47,10525 Carmenita,,Santa Fe Springs,CA,90670,US,,33.93957,-118.04684,,,
Long Beach (Carson St.),135,7691 Carson St.,,Long Beach,CA,90808,US,,33.83109,-118.08485,,,
Union City,156,32060 Union Landing,,Union City,CA,94587,US,,37.59927,-122.06561,,,
Livermore,149,1881 N. Livermore Ave.,,Livermore,CA,94550,US,,37.69939,-121.77326,,,
Seal Beach,271,12365 Seal Beach Blvd.,,Seal Beach,CA,90740,US,,33.78222,-118.07251,,,
Pico Rivera,49,9070 Whittier Blvd.,,Pico Rivera,CA,90660,US,,34.00053,-118.08306,,,
Norwalk,14,14330 Pioneer Blvd.,,Norwalk,CA,90650,US,,33.90119,-118.08224,,,
Kearny Mesa,71,4375 Kearny Mesa Rd.,,San Diego,CA,92111,US,,32.81967,-117.14869,,,
Long Beach,114,6391 E. Pac Cst Hwy.,,Long Beach,CA,90803,US,,33.75847,-118.11117,,,
City Of Industry (Grand & Valley),199,21620 E. Valley Blvd,,City Of Industry,CA,91789,US,,34.02749,-117.83467,,,
Orem,235,350 E. University Pkwy,,Orem,UT,84058,US,,40.27312,-111.68661,,,
American Fork,239,601 W. Main St.,,American Fork,UT,84003,US,,40.37595,-111.81472,,,
Midvale,261,7206 S. Union Park Ave.,,Midvale,UT,84047,US,,40.62037,-111.85666,,,
Draper,236,12191 State St.,,Draper,UT,84020,US,,40.52883,-111.88928,,,
Riverton,244,12569 S. Crossing Drive,,Riverton,UT,84096,US,,40.5226,-111.98478,,,
West Valley City,245,3715 S. Constitution Blvd,,West Valley City,UT,84119,US,,40.69142,-111.95765,,,
Centerville,248,475 North 700 West,,Centerville,UT,84014,US,,40.92237,-111.8895,,,
West Jordan,237,7785 Jordan Landing Blvd.,,West Jordan,UT,84084,US,,40.60978,-111.98588,,,
Riverdale,284,4030 Riverdale Rd.,,Riverdale,UT,84405,US,,41.19122,-111.97999,,,
Denton,322,2835 W. University Dr.,,Denton,TX,76201,US,,33.22515,-97.17135,,,
Waco,307,801 South 4th St.,,Waco,TX,76706,US,,31.5514,-97.12444,,,
Mansfield,282,1221 N. Hwy. 287,,Mansfield,TX,76063,US,,32.58242,-97.13479,,,
Fort Worth (Lake Worth),278,5916 Quebec St.,,Fort Worth,TX,76135,US,,32.80709,-97.42463,,,
