store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Kroger,00657,#20 Cherry Tree S/C,,Washington,IL,61571,United States,3094448585,40.706467,-89.4468667,fridayOpen:06:00;thursdayClose:00:00;recordId:02100657;wednesdayOpen:06:00;thursdayOpen:06:00;tuesdayOpen:06:00;wednesdayClose:00:00;saturdayOpen:06:00;mondayOpen:06:00;tuesdayClose:00:00;fridayClose:00:00;mondayClose:00:00;saturdayClose:00:00;sundayClose:00:00;sundayOpen:06:00;,,
Kroger,00705,201 S Main St,,East Peoria,IL,61611,United States,3096946298,40.6646016,-89.5808218,fridayOpen:07:00;thursdayClose:07:00;recordId:02100705;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Kroger,00531,1405 W Garfield Ave,,Bartonville,IL,61607,United States,3096978811,40.6462452,-89.6750279,fridayOpen:06:00;thursdayClose:00:00;recordId:02100531;wednesdayOpen:06:00;thursdayOpen:06:00;tuesdayOpen:06:00;wednesdayClose:00:00;saturdayOpen:06:00;mondayOpen:06:00;tuesdayClose:00:00;fridayClose:00:00;mondayClose:00:00;saturdayClose:00:00;sundayClose:00:00;sundayOpen:06:00;,,
Ruler,00290,2002 W. Springfield Ave.,,Champaign,IL,61821,United States,2173731450,40.1138976,-88.2802593,fridayOpen:08:00;thursdayClose:21:00;recordId:09000290;wednesdayOpen:08:00;thursdayOpen:08:00;tuesdayOpen:08:00;wednesdayClose:21:00;saturdayOpen:08:00;mondayOpen:08:00;tuesdayClose:21:00;fridayClose:21:00;mondayClose:21:00;saturdayClose:21:00;sundayClose:21:00;sundayOpen:08:00;,,
Kroger,00767,3103 W Harmon Hwy,,Peoria,IL,61604,United States,3096741188,40.6826729,-89.6428158,fridayOpen:06:00;thursdayClose:23:00;recordId:02100767;wednesdayOpen:06:00;thursdayOpen:06:00;tuesdayOpen:06:00;wednesdayClose:23:00;saturdayOpen:06:00;mondayOpen:06:00;tuesdayClose:23:00;fridayClose:23:00;mondayClose:23:00;saturdayClose:23:00;sundayClose:23:00;sundayOpen:06:00;,,
Kwik Shop,00568,300 E Blairs Ferry Rd,,Hiawatha,IA,52233,United States,3193936934,42.0347326,-91.702031,fridayOpen:07:00;thursdayClose:07:00;recordId:67200568;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Kroger,00406,7789 Richmond Hwy,,Appomattox,VA,24522,United States,4343520817,37.3659656,-78.8444999,fridayOpen:06:00;thursdayClose:00:00;recordId:02900406;wednesdayOpen:06:00;thursdayOpen:06:00;tuesdayOpen:06:00;wednesdayClose:00:00;saturdayOpen:06:00;mondayOpen:06:00;tuesdayClose:00:00;fridayClose:00:00;mondayClose:00:00;saturdayClose:00:00;sundayClose:00:00;sundayOpen:06:00;,,
Kroger,00261,302 N Main Ave,,Brownwood,TX,76801,United States,3256467546,31.7257274,-98.9816662,fridayOpen:06:00;thursdayClose:01:00;recordId:03500261;wednesdayOpen:06:00;thursdayOpen:06:00;tuesdayOpen:06:00;wednesdayClose:01:00;saturdayOpen:06:00;mondayOpen:06:00;tuesdayClose:01:00;fridayClose:01:00;mondayClose:01:00;saturdayClose:01:00;sundayClose:01:00;sundayOpen:06:00;,,
Fred Meyer Jewelers,00213,3915 Hwy 377 East,,Granbury,TX,76049,United States,6824984235,32.453795,-97.726793,fridayOpen:10:00;thursdayClose:20:00;recordId:70200213;wednesdayOpen:10:00;thursdayOpen:10:00;tuesdayOpen:10:00;wednesdayClose:20:00;saturdayOpen:10:00;mondayOpen:10:00;tuesdayClose:20:00;fridayClose:20:00;mondayClose:20:00;saturdayClose:20:00;sundayClose:18:00;sundayOpen:12:00;,,
Kroger Marketplace,00917,3915 Hwy. 377 East,,Granbury,TX,76049,United States,6824984222,32.4575041,-97.7297362,fridayOpen:06:00;thursdayClose:01:00;recordId:03500917;wednesdayOpen:06:00;thursdayOpen:06:00;tuesdayOpen:06:00;wednesdayClose:01:00;saturdayOpen:06:00;mondayOpen:06:00;tuesdayClose:01:00;fridayClose:01:00;mondayClose:01:00;saturdayClose:01:00;sundayClose:01:00;sundayOpen:06:00;,,
Harris Teeter,00311,324 Village Walk Dr,,HOLLY SPRINGS,NC,27540,United States,9195521596,35.6395862,-78.8391135,fridayOpen:07:00;thursdayClose:07:00;recordId:09700311;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Harris Teeter,00137,88 Chatham Downs,,CHAPEL HILL,NC,27517,United States,9199600275,35.8309838,-79.0864031,fridayOpen:07:00;thursdayClose:07:00;recordId:09700137;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Harris Teeter,00058,750 W. Williams Street,,APEX,NC,27539,United States,9193623782,35.7376806,-78.8625298,fridayOpen:07:00;thursdayClose:07:00;recordId:09700058;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Kroger,00371,1371 E Broad St,,Fuquay Varina,NC,27526,United States,9195677423,35.59573,-78.7757337,fridayOpen:06:00;thursdayClose:00:00;recordId:02900371;wednesdayOpen:06:00;thursdayOpen:06:00;tuesdayOpen:06:00;wednesdayClose:00:00;saturdayOpen:06:00;mondayOpen:06:00;tuesdayClose:00:00;fridayClose:00:00;mondayClose:00:00;saturdayClose:00:00;sundayClose:00:00;sundayOpen:06:00;,,
