store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Turkey Hill,00266,2015 Dotson Ct,,Harrisburg,PA,17110,United States,7176719290,40.306448,-76.8522995,fridayOpen:07:00;thursdayClose:07:00;recordId:67000266;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Littman Jewelers,00896,3541 Capital City Mall Dr,,Camp Hill,PA,17011,United States,7177376849,40.223018,-76.931934,fridayOpen:10:00;thursdayClose:21:00;recordId:70200896;wednesdayOpen:10:00;thursdayOpen:10:00;tuesdayOpen:10:00;wednesdayClose:21:00;saturdayOpen:10:00;mondayOpen:10:00;tuesdayClose:21:00;fridayClose:21:00;mondayClose:21:00;saturdayClose:21:00;sundayClose:18:00;sundayOpen:11:00;,,
Littman Jewelers,00905,500 Galleria Dr Ste 240,,Johnstown,PA,15904,United States,8142666199,40.294593,-78.833817,fridayOpen:10:00;thursdayClose:21:00;recordId:70200905;wednesdayOpen:10:00;thursdayOpen:10:00;tuesdayOpen:10:00;wednesdayClose:21:00;saturdayOpen:10:00;mondayOpen:10:00;tuesdayClose:21:00;fridayClose:21:00;mondayClose:21:00;saturdayClose:21:00;sundayClose:17:00;sundayOpen:12:00;,,
Turkey Hill,00135,501 N 2Nd St,,Shamokin,PA,17872,United States,5706481620,40.7892382,-76.5640747,fridayOpen:07:00;thursdayClose:07:00;recordId:67000135;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Turkey Hill,00240,2130 S Market St,,Mechanicsburg,PA,17055,United States,7176977280,40.175373,-76.9846343,fridayOpen:07:00;thursdayClose:07:00;recordId:67000240;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Turkey Hill,00098,707 N Mountain Rd,,Linglestown,PA,17112,United States,7176573493,40.333294,-76.790779,fridayOpen:07:00;thursdayClose:07:00;recordId:67000098;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Turkey Hill,00184,140 W Lincoln St,,Shamokin,PA,17872,United States,5706442291,40.7892376,-76.5579733,fridayOpen:07:00;thursdayClose:07:00;recordId:67000184;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Turkey Hill,00091,438 S 3rd St,,Lemoyne,PA,17043,United States,7177743335,40.241249,-76.8869781,fridayOpen:05:00;thursdayClose:00:00;recordId:67000091;wednesdayOpen:05:00;thursdayOpen:05:00;tuesdayOpen:05:00;wednesdayClose:00:00;saturdayOpen:05:00;mondayOpen:05:00;tuesdayClose:00:00;fridayClose:00:00;mondayClose:00:00;saturdayClose:00:00;sundayClose:00:00;sundayOpen:05:00;,,
Littman Jewelers,00927,12 Colonial Park Mall,,Harrisburg,PA,17109,United States,7176579280,40.302025,-76.81928,fridayOpen:10:00;thursdayClose:21:00;recordId:70200927;wednesdayOpen:10:00;thursdayOpen:10:00;tuesdayOpen:10:00;wednesdayClose:21:00;saturdayOpen:10:00;mondayOpen:10:00;tuesdayClose:21:00;fridayClose:21:00;mondayClose:21:00;saturdayClose:21:00;sundayClose:18:00;sundayOpen:12:00;,,
Turkey Hill,00207,122 E Valley Ave,,Elysburg,PA,17824,United States,5706729138,40.8620844,-76.5486051,fridayOpen:07:00;thursdayClose:07:00;recordId:67000207;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
